Nom de la gare;Total Voyageurs 2022
Ria-Sirach;1145
Richwiller;0
Rieux - Angicourt;140715
Riom - Châtel-Guyon;1058564
Roche-lez-Beaupré;6860
Roeschwoog;72205
Romanèche-Thorins;47885
Romorantin Blanc Argent;208914
Roscoff;11236
Rouffach;238593
Rouillé;16496
Royan;277670
Ruminghem;30844
Sablé-sur-Sarthe;569915
Sain-Bel;205445
Saint-Agnan;950
Saint-Aignan - Noyers;85328
Saint-Aigulin - La Roche-Chalais;26956
Saint-Amand-Longpré;5454
Saint-André-lez-Lille;21166
Saint-Christophe-Vallon;5352
Saint-Clair - Les Roches;623525
Saint-Cyprien Arènes;262837
Saint-Dizier;192797
Sainte-Colombe Septveilles;114903
Sainte-Pazanne;196087
Saint-Erme-Outre-et-Ramecourt;77921
Saintes;715225
Saint-Féliu-d'Avall;1989
Saint-Georges-de-Commiers;2985
Saint-Gilles-Croix-de-Vie;138563
Saint-Hilaire-au-Temple;0
Saint-Jacques-de-la-Lande;4551
Saint-Jean-de-Luz - Ciboure;478467
Saint-Joseph le Castellas;11134
Saint-Julien-du-Sault;36797
Saint-Laurent - Gainneville;20887
Saint-Léon-sur-l'Isle;19074
Saint-Leu-d'Esserent;138908
Saint-Leu-la-Forêt;2272089
Saint-Lô;265583
Saint-Lothain;4028
Saint-Louis les Aygalades;0
Saint-Macaire;17836
Saint-Malo;1638571
Saint-Marcel en Dombes;70447
Saint-Martin d'Étampes;493755
Saint-Martin-d'Oney;71106
Saint-Médard-de-Guizières;62050
Saint-Nom-la-Bretèche Forêt de Marly;1308720
Saint-Ouen;3120774
Saint-Pierre-sur-Dives;64822
Saint-Priest;204808
Saint-Quentin-Fallavier;253480
Saint-Remy-en-l'Eau;123
Saint-Romain-le-Puy;53612
Saint-Sébastien Frêne Rond;33554
Saint-Seurin-sur-l'Isle;133870
Saint-Sulpice - Auteuil;126642
Saint-Vallier sur Rhône;309631
Saint-Vincent le Château;14358
